Normalised City Pair,Departure Code,Arrival Code,Departure_lat,Departure_lon,Arrival_lat,Arrival_lon,Distance
"Frankfurt, Germany - Poona, India",PNQ,FRA,18.6,73.91,50.05,8.56,6686.008071606939
"Frankfurt, Germany - Poona, India",FRA,PNQ,50.1,8.56,18.58,73.91,6688.286226885101
"Delhi, India - London, United Kingdom",DEL,LHR,28.7,77.26,51.47,-0.45,6732.681944011799
"Delhi, India - London, United Kingdom",DEL,LHR,28.7,77.26,51.47,-0.45,6732.681944011799
"Delhi, India - London, United Kingdom",DEL,LHR,28.7,77.26,51.47,-0.45,6732.681944011799
"Delhi, India - London, United Kingdom",DEL,LHR,28.7,77.26,51.47,-0.45,6732.681944011799
"Delhi, India - Newark, United States Of America",EWR,DEL,51.5,-0.45,28.66,77.26,6735.279197987927
"Delhi, India - Madrid, Spain",MAD,DEL,51.5,-0.45,28.66,77.26,6735.279197987927
"Delhi, India - Manchester, United Kingdom",MAN,DEL,51.5,-0.45,28.66,77.26,6735.279197987927
"Delhi, India - London, United Kingdom",LHR,DEL,51.5,-0.45,28.66,77.26,6735.279197987927
"Bombay, India - Tokyo, Japan",BOM,NRT,19.1,72.86,35.75,140.39,6788.846965441538
"Bombay, India - Tokyo, Japan",NRT,BOM,35.8,140.39,19.09,72.86,6789.0753547924705
"Bombay, India - Tokyo, Japan",NRT,BOM,35.8,140.39,19.09,72.86,6789.0753547924705
"Bombay, India - Tokyo, Japan",NRT,BOM,35.8,140.39,19.09,72.86,6789.0753547924705
"New York, United States Of America - Vienna, Austria",JFK,VIE,40.6,-73.79,48.2,16.37,6792.93251546832
"Entebbe/kampala, Uganda - London, United Kingdom",EBB,LHR,-1.3,36.81,51.47,-0.45,6835.2024114139895
"London, United Kingdom - Nairobi, Kenya",NBO,LHR,-1.3,36.81,51.47,-0.45,6835.2024114139895
"London, United Kingdom - Nairobi, Kenya",NBO,LHR,-1.3,36.81,51.47,-0.45,6835.2024114139895
